id_cliente,nombre,genero,fecha_registro,gasto_q,ciudad,categoria,gasto_imputado
540080,Ana Mejia,Masculino,2026-01-24,232.41,Villa Nueva,Retail,False
579164,Jorge Castillo,Femenino,2026-02-19,251.9,Quetzaltenango,Retail,True
529560,Monica Lopez,Femenino,2026-02-27,358.82,Antigua,Education,False
518822,Rene Soto,Masculino,2026-01-13,249.89,Quetzaltenango,Retail,False
550874,Diego Ramirez,Femenino,2026-01-12,105.8,Amatitlan,Education,False
537664,Lucia Perez,Masculino,2026-02-28,153.21,Amatitlan,Retail,False
505663,Ana Mejia,Masculino,2026-03-14,397.6,Guatemala,Food,False
588546,Diego Ramirez,Masculino,2026-01-21,392.56,Mixco,Services,False
541476,Rene Soto,Masculino,2026-02-07,257.38,Quetzaltenango,Retail,False
527755,Ana Diaz,No Especificado,2026-01-28,76.86,Antigua,Food,False
532967,Carlos Mendez,Masculino,2026-03-12,142.65,Guatemala,Retail,False
523232,Maria Paz,Femenino,2026-01-20,70.66,Escuintla,Retail,False
566186,Monica Lopez,Femenino,2026-02-06,140.58,Antigua,Retail,False
506187,Luis Garcia,Masculino,2026-03-17,91.3,Mixco,Food,False
505322,Mario Lopez,No Especificado,2026-02-23,37.22,Villa Nueva,Food,False
549769,Pablo Perez,Masculino,2026-02-23,171.38,Antigua,Retail,False
509309,Pablo Perez,Masculino,2026-02-25,158.99,Villa Nueva,Food,False
510578,Rene Soto,Masculino,2026-03-08,280.1,Antigua,Education,False
524765,Jorge Castillo,Masculino,2026-02-08,205.15,Villa Nueva,Retail,False
587637,Oscar Rojas,Masculino,2026-01-02,444.06,Mixco,Education,False
505500,Pedro Herrera,Masculino,2026-03-06,242.89,Escuintla,Food,False
584212,Pablo Perez,Masculino,2026-01-11,254.87,Villa Nueva,Food,False
541231,Monica Lopez,Femenino,2026-01-28,180.75,Mixco,Retail,False
506163,Patricia Soto,Femenino,2026-03-26,221.9,Amatitlan,Education,True
562950,Oscar Rojas,Masculino,2026-01-26,392.33,Guatemala,Retail,False
541296,Pedro Herrera,Masculino,2026-03-11,423.29,Guatemala,Food,False
588286,Pablo Perez,Masculino,2026-01-07,103.06,Quetzaltenango,Services,False
548924,Ana Diaz,Femenino,2026-02-06,358.02,Villa Nueva,Services,False
547098,Monica Lopez,Femenino,2026-02-18,132.21,Antigua,Food,False
581521,Patricia Soto,Femenino,2026-03-11,412.97,Amatitlan,Food,False
580106,Monica Lopez,Femenino,2026-02-14,36.54,Quetzaltenango,Education,False
556298,Mario Lopez,Masculino,2026-02-12,406.17,Antigua,Retail,False
550999,Diego Ramirez,Masculino,2026-02-26,325.17,Mixco,Education,False
538398,Mario Lopez,Masculino,2026-03-26,95.01,Villa Nueva,Education,False
566613,Maria Paz,Femenino,2026-03-09,48.09,Villa Nueva,Education,False
506476,Mario Lopez,Masculino,2026-01-24,419.86,Quetzaltenango,Education,False
593568,Ana Mejia,No Especificado,2026-03-13,229.97,Mixco,Education,False
516453,Oscar Rojas,Masculino,2026-03-01,158.53,Villa Nueva,Education,False
571348,Paola Herrera,Femenino,2026-02-08,334.33,Escuintla,Food,False
516591,Isabel Ramirez,Femenino,2026-02-24,135.52,Guatemala,Food,False
541870,Paola Morales,Femenino,2026-01-13,448.34,Mixco,Education,False
559101,Rene Soto,Masculino,2026-01-24,159.55,Mixco,Food,False
582641,Luis Garcia,Femenino,2026-02-23,221.9,Antigua,Education,True
524962,Pablo Perez,Masculino,2026-03-17,355.02,Amatitlan,Food,False
521624,Monica Lopez,Masculino,2026-01-19,195.95,Mixco,Food,False
597729,Jorge Castillo,Masculino,2026-01-10,183.15,Villa Nueva,Food,False
543227,Pedro Herrera,Masculino,2026-02-22,95.13,Mixco,Services,False
512602,Pedro Herrera,Femenino,2026-03-22,379.33,Mixco,Services,False
501430,Diego Ramirez,Masculino,2026-03-15,272.28,Escuintla,Retail,False
583787,Ana Mejia,Masculino,2026-03-21,372.18,Amatitlan,Retail,False
518581,Monica Lopez,Masculino,2026-02-25,72.07,Escuintla,Retail,False
583758,Paola Morales,Femenino,2026-02-24,346.13,Escuintla,Services,False
512789,Oscar Rojas,Masculino,2026-03-26,273.15,Villa Nueva,Food,False
518739,Jorge Castillo,Masculino,2026-02-16,83.59,Villa Nueva,Services,False
579203,Mario Lopez,No Especificado,2026-01-13,36.86,Quetzaltenango,Food,False
587911,Pablo Perez,Masculino,2026-01-23,397.5,Villa Nueva,Education,False
521279,Jorge Castillo,Masculino,2026-03-18,419.71,Quetzaltenango,Services,False
543194,Oscar Rojas,Masculino,2026-01-05,116.16,Guatemala,Food,False
500174,Diego Ramirez,Masculino,2026-02-19,135.73,Villa Nueva,Education,False
540106,Ana Mejia,Femenino,2026-02-17,4342.9,Quetzaltenango,Services,False
544470,Paola Morales,Femenino,2026-02-28,221.9,Amatitlan,Education,True
580530,Paola Herrera,Femenino,2026-02-20,322.38,Mixco,Food,False
566873,Diego Ramirez,Masculino,2026-03-08,341.7,Guatemala,Food,False
525980,Jorge Castillo,Masculino,2026-03-08,165.52,Amatitlan,Food,False
532366,Pablo Perez,Femenino,2026-02-08,79.93,Amatitlan,Education,False
573118,Pedro Herrera,Masculino,2026-01-04,384.92,Quetzaltenango,Services,False
527689,Paola Morales,Masculino,2026-01-02,73.69,Quetzaltenango,Retail,False
573540,Paola Herrera,Femenino,2026-03-10,131.32,Mixco,Education,False
542359,Mario Lopez,Masculino,2026-01-21,95.63,Quetzaltenango,Education,False
558411,Paola Morales,Masculino,2026-01-12,293.67,Guatemala,Retail,False
