id_cliente,nombre,genero,fecha_registro,gasto_q,ciudad,categoria
540080,Ana Mejia, m ,24/01/2026,"232,41",Villa Nueva,Retail
579164,Jorge Castillo,F,2026-02-19,,Quetzaltenango,Retail
529560,MONICA LOPEZ,F,2026-02-27,"358,82",Antigua,Education
518822,Rene Soto,m,2026-01-13,249.89,Quetzaltenango,RETAIL
550874,Diego Ramirez,F,2026-01-12,"105,80",Amatitlan,Education
537664,Lucia Perez,M,2026-02-28,153.21,Amatitlan,RETAIL
505663,ana mejia ,M,14/03/2026,"397,60",guatemala,food
588546,diego ramirez , m ,2026-01-21,392.56,Mixco,Services
541476,rene soto,M,2026-02-07,257.38, Quetzaltenango,Retail
527755,Ana Diaz,,28/01/2026,"76,86",Antigua,Food
532967,Carlos Mendez,M,2026-03-12,"142,65",guatemala,Retail
523232,MARIA PAZ,f,20/01/2026,"70,66",ESCUINTLA,Retail
566186,Monica Lopez,F,2026-02-06,"140,58", Antigua,Retail
506187,Luis  Garcia,M,2026-03-17,91.30,Mixco,Food
505322,Mario Lopez,,23/02/2026,"37,22",Villa Nueva,Food
549769,pablo perez, M ,2026-02-23,"171,38",Antigua,RETAIL
509309,Pablo  Perez,M,2026-02-25,"158,99",Villa Nueva,Food
510578,Rene  Soto, M ,2026-03-08,280.10,ANTIGUA,Education
524765,Jorge Castillo,m,2026-02-08,"205,15",Villa  Nueva,Retail
587637,Oscar Rojas , m ,02/01/2026,444.06,Mixco,Education
505500,Pedro  Herrera,m,2026-03-06,"242,89",Escuintla,Food
584212,Pablo Perez,M,2026-01-11,"254,87",Villa Nueva ,FOOD
541231,  Monica Lopez , F ,2026-01-28,180.75, Mixco ,RETAIL
506163,Patricia Soto, f ,2026-03-26,,Amatitlan,Education
562950,Oscar Rojas,m,2026-01-26,"392,33", Guatemala,Retail
541296,Pedro Herrera, m ,11/03/2026,"423,29",Guatemala,Food
588286,Pablo Perez, m ,2026-01-07,103.06,Quetzaltenango,Services
548924,ANA  DIAZ,F,2026-02-06,"358,02",Villa Nueva,Services
547098,Monica  Lopez , f ,2026-02-18,132.21,Antigua,Food
581521,patricia soto, f ,11/03/2026,412.97,amatitlan ,Food
580106, Monica Lopez,f,14/02/2026,36.54,quetzaltenango,Education
556298,mario lopez, m ,12/02/2026,406.17,Antigua,Retail
550999,Diego Ramirez,M,2026-02-26,"325,17",Mixco,Education
538398, Mario Lopez,m,2026-03-26,95.01,Villa Nueva,Education
566613,Maria Paz,f,2026-03-09,"48,09",Villa Nueva,Education
506476, Mario Lopez, m ,24/01/2026,419.86,Quetzaltenango,Education
593568,Ana Mejia,,2026-03-13,"229,97",Mixco,Education
516453,OSCAR ROJAS, M ,01/03/2026,158.53, Villa Nueva,Education
571348,paola herrera,f,2026-02-08,334.33,ESCUINTLA,Food
516591, Isabel Ramirez,F,24/02/2026,"135,52",GUATEMALA,Food
541870,Paola Morales,f,2026-01-13,448.34,Mixco,Education
559101,Rene Soto ,m,2026-01-24,"159,55",Mixco,Food
582641,Luis Garcia, f ,2026-02-23,,Antigua,Education
524962,pablo perez,m,2026-03-17,"355,02",AMATITLAN,Food
521624,Monica Lopez, m ,2026-01-19,195.95,Mixco,Food
597729, Jorge Castillo,m,2026-01-10,183.15,Villa Nueva ,Food
543227,PEDRO HERRERA, m ,22/02/2026,95.13,MIXCO ,Services
512602,Pedro Herrera, f ,22/03/2026,"379,33",Mixco ,Services
501430,Diego Ramirez,m,2026-03-15,"272,28",Escuintla ,Retail
583787,Ana Mejia, m ,2026-03-21,372.18,amatitlan,Retail
518581,Monica Lopez,m,2026-02-25,72.07,ESCUINTLA,Retail
583758, paola morales ,f,2026-02-24,"346,13",Escuintla,Services
512789,Oscar Rojas, m ,26/03/2026,"273,15",VILLA NUEVA,Food
518739,Jorge  Castillo, m ,2026-02-16,"83,59",Villa Nueva,Services
579203,Mario Lopez,,2026-01-13,"36,86",quetzaltenango,Food
587911,PABLO PEREZ,m,2026-01-23,"397,50",VILLA NUEVA ,Education
521279,Jorge Castillo,M,2026-03-18,"419,71",Quetzaltenango ,Services
543194,Oscar  Rojas,m,2026-01-05,"116,16", GUATEMALA,Food
500174,Diego Ramirez ,m,19/02/2026,"135,73",Villa Nueva,Education
540106,Ana Mejia, f ,2026-02-17,4342.90,Quetzaltenango,Services
544470,Paola  Morales,f,2026-02-28,,Amatitlan,EDUCATION
580530,Paola Herrera,f,20/02/2026,"322,38",Mixco,Food
566873,Diego Ramirez, M ,2026-03-08,"341,70",Guatemala,Food
525980,Jorge Castillo, m ,2026-03-08,165.52,Amatitlan,food
532366,Pablo Perez, F ,08/02/2026,79.93,Amatitlan,Education
573118,Pedro Herrera, m ,2026-01-04,384.92,QUETZALTENANGO,Services
527689,PAOLA MORALES,m,2026-01-02,73.69,Quetzaltenango,retail
573540,Paola Herrera , f ,2026-03-10,131.32, Mixco ,Education
542359,Mario Lopez, m ,2026-01-21,"95,63",Quetzaltenango,education
558411,Paola Morales, m ,2026-01-12,"293,67",Guatemala ,Retail
590503,Pablo Perez, f ,26/03/2026,308.59,mixco,Services
512489,PEDRO HERRERA,F,2026-02-06,"29,36",Villa Nueva ,SERVICES
590530,Julio Morales,m,17/01/2026,129.18,Quetzaltenango ,Retail
598281,maria paz,F,2026-03-27,"37,49",Mixco,Retail
518608,Julio Morales,M,19/02/2026,,Mixco,Food
502338,pedro herrera, m ,2026-03-01,355.66,Escuintla,Services
580682, carlos mendez ,M,2026-02-17,406.33,Villa Nueva,Services
570976,Rene Soto ,m,2026-01-01,"129,27",Guatemala,Services
563571,Pedro Herrera,f,2026-01-21,"398,55",Amatitlan,Education
585750, Isabel Ramirez,F,18/01/2026,"106,71",Mixco,Food
531264,Diego Ramirez, m ,2026-03-08,"194,35",escuintla,Education
504953,Paola Herrera,f,2026-03-20,"35,14",Guatemala,EDUCATION
524216,ana diaz, f ,2026-02-25,222.25,Guatemala,RETAIL
528538,Julio Morales, M ,2026-02-15,80.26,Amatitlan,Retail
568602, Ana Soto,m,01/01/2026,"272,95",Villa Nueva,Food
545690,Mario Lopez,m,2026-01-20,"27,40",Quetzaltenango,Retail
549701,ANA SOTO,f,07/01/2026,251.90,Mixco  ,Retail
539586,Luis Garcia , F ,2026-03-16,425.58,quetzaltenango,Services
551152,PAOLA HERRERA, F ,2026-01-03,209.12, Guatemala,Services
597637, Julio Morales, m ,2026-03-01,335.47,Antigua,Services
592429, Ana Soto,F,2026-03-11,166.72,Amatitlan,Services
522108,Jorge Castillo,m,2026-02-26,89.30,guatemala,food
573579,Oscar Rojas, M ,27/01/2026,164.14,Guatemala,Food
581605, Carlos Mendez, f ,2026-03-03,381.10,Mixco ,Services
571985,maria paz ,f,2026-01-18,27.69,MIXCO,Food
576252,Ana Diaz,F,2026-03-27,"170,65",Quetzaltenango,Services
545160,pablo perez, f ,2026-03-06,"376,67",Escuintla,Retail
528611,Mario Lopez, M ,06/02/2026,"135,05",VILLA NUEVA,Food
530964, Patricia Soto ,f,2026-02-22,"307,56",Guatemala,Education
504840,Oscar Rojas, M ,2026-03-01,303.70,Mixco,Education
536721,Monica Lopez,f,2026-03-09,286.56,Guatemala,Services
540124,Paola Morales,f,2026-02-22,"274,85",Quetzaltenango,education
552827,Jorge Castillo,m,2026-01-11,242.04,  Quetzaltenango,Education
500127,Julio Morales,m,23/01/2026,"448,92",escuintla,Food
550561,Pablo Perez, f ,2026-02-15,295.89,Mixco,Education
563047,pedro herrera, m ,2026-02-19,"322,73",Escuintla,Services
566006,Pedro Herrera,F,2026-02-21,287.65,Villa Nueva,Education
588126,Paola  Herrera , f ,17/01/2026,"235,94",Escuintla,services
531240,  Julio Morales,m,13/03/2026,"94,57", Quetzaltenango,Retail
514273,Monica  Lopez, f ,2026-01-18,406.57,Antigua,Education
513963,Oscar Rojas,M,2026-03-27,345.48,Mixco,Education
538096,Oscar Rojas,f,23/02/2026,,Escuintla ,Food
588670,Maria Paz, m ,28/01/2026,"135,12",antigua ,Retail
590677,Luis Garcia,m,2026-02-17,"396,07",Amatitlan,Education
576379,Luis Garcia, f ,2026-03-15,"30,84",Quetzaltenango  ,Retail
535426,Jorge Castillo,m,2026-01-21,"429,68", Escuintla,Services
567800,Diego  Ramirez, m ,2026-01-13,169.71,Mixco ,EDUCATION
549971,Julio Morales,m,2026-01-24,"187,60", ANTIGUA,Food
568724,PAOLA HERRERA,M,2026-03-27,"35,59",escuintla,Services
506347,Paola Morales,F,19/03/2026,383.12,Guatemala ,Retail
533739,Oscar Rojas,m,27/01/2026,"81,40",Amatitlan,Retail
559575,Pablo  Perez,,2026-02-19,369.17,Antigua,Education
523571,LUIS GARCIA,f,15/03/2026,301.97,Villa Nueva,Retail
575516,Maria Paz,F,2026-02-21,379.26,Villa Nueva,services
553118,Maria Paz,f,2026-01-22,386.58,Amatitlan,education
535751, Carlos Mendez,F,2026-02-16,105.56,Quetzaltenango,Services
550977,Monica Lopez ,F,2026-02-23,"384,97",Guatemala,Retail
526493,oscar  rojas,f,2026-02-09,"178,37",Guatemala ,Education
568002,mario lopez , m ,2026-01-02,322.01,Villa Nueva ,FOOD
531504,Mario Lopez,,2026-01-01,"239,85",Mixco,Services
522706,Ana Soto,f,2026-02-22,384.44,Guatemala,Food
575671, julio morales,m,19/03/2026,235.60,Guatemala ,retail
558146, Ana Soto , f ,05/01/2026,"430,11", GUATEMALA,Education
552395,Ana Mejia,f,2026-02-26,169.75,Antigua ,Food
542867,Monica Lopez, f ,2026-03-03,206.18,Quetzaltenango,Food
517284,ana soto, m ,2026-02-22,47.78,Antigua,RETAIL
534713,Ana Soto,f,18/01/2026,"394,94",ANTIGUA,Food
554846,Monica Lopez, F ,2026-02-08,375.93,villa nueva,education
520607,CARLOS MENDEZ, m ,2026-03-20,323.71,Escuintla,Food
506068,Ana Soto,f,2026-03-14,,Amatitlan,Retail
570059,isabel ramirez,f,2026-03-09,"321,34",Antigua,food
555749, Pedro Herrera,m,2026-01-25,"118,25",quetzaltenango,Retail
543752,Monica Lopez, F ,2026-03-24,286.30,Mixco,Retail
544063,Mario Lopez,M,01/03/2026,"154,89",amatitlan,Education
511854,Ana Mejia,f,2026-01-15,,guatemala,Food
573686,jorge castillo,M,2026-03-06,"212,05",Guatemala,FOOD
555887,Carlos Mendez,m,2026-03-11,265.83,MIXCO ,Education
560943,Maria  Paz ,f,2026-01-12,4031.22,guatemala,Services
547018,Pablo Perez ,f,2026-03-16,,Quetzaltenango,Education
513663, Patricia Soto,F,2026-02-06,100.42, Villa Nueva,Food
597619,Patricia Soto,M,27/02/2026,427.90,MIXCO,Education
539613,Jorge Castillo, M ,2026-03-04,"20,33", Villa Nueva ,Education
500924, Carlos Mendez,m,2026-01-01,387.18,escuintla,Food
567286,Lucia Perez,M,2026-01-18,"36,16",Antigua ,Retail
549805,Ana Diaz, f ,11/01/2026,"142,62",Amatitlan,Education
508152,Luis Garcia,M,2026-03-08,"199,09",Antigua ,Education
568782,Lucia Perez, F ,19/03/2026,298.10,Guatemala ,Education
590351,Ana Mejia,F,2026-02-05,,Guatemala,RETAIL
552204,Patricia Soto,m,2026-03-01,"308,98",Villa Nueva,Retail
586090,Pedro Herrera, m ,2026-03-06,213.24,Villa Nueva,Retail
542982,CARLOS MENDEZ, m ,2026-01-26,"267,66",Guatemala,Services
522964, Luis Garcia, m ,28/03/2026,159.31,Antigua,Education
567803,MONICA LOPEZ,f,2026-02-15,36.08,Quetzaltenango,Education
513031,Lucia Perez, f ,2026-02-24,"244,32",MIXCO ,Food
550992,ana soto,f,2026-02-08,85.84,Amatitlan,Food
572828,Mario Lopez, m ,07/02/2026,"416,40", Quetzaltenango,Education
523896,Mario Lopez,f,2026-03-04,67.61,Villa Nueva,food
576181,Luis Garcia,M,2026-01-02,422.39,Villa Nueva,Retail
544326,Pedro Herrera,m,2026-03-20,361.45,Amatitlan ,Retail
594405,oscar rojas,m,02/01/2026,191.87,Villa Nueva,services
563739,Monica  Lopez ,M,2026-02-13,"359,77",AMATITLAN,Education
563629,PAOLA MORALES, f ,2026-03-26,77.97,Guatemala,Food
583605,Paola Morales, f ,05/02/2026,"167,84",Antigua ,Education
511098,Luis  Garcia, f ,2026-03-19,271.70,Mixco,RETAIL
503442,Oscar Rojas,F,2026-01-10,175.75,Quetzaltenango,Retail
514802,JORGE CASTILLO, M ,08/03/2026,34.17,Escuintla,Education
581341,Maria Paz,m,2026-02-18,122.50,Escuintla,education
568889,Ana Mejia, f ,2026-02-01,"147,08",Guatemala,Services
578014,Pedro Herrera,m,2026-02-05,"373,98",quetzaltenango ,Education
502151,Paola  Herrera,f,09/03/2026,,guatemala,Retail
517233,LUCIA PEREZ ,f,07/01/2026,95.72,Villa Nueva,Education
504910,Ana Mejia, f ,2026-01-26,"78,96",Antigua,Food
545091,ana diaz,M,2026-01-07,,Guatemala,Food
575079,DIEGO RAMIREZ,M,2026-02-18,4224.04,Antigua ,Food
544388,Oscar  Rojas,M,2026-02-11,"289,72",Amatitlan,retail
560238,Rene Soto,m,2026-03-20,"237,96",Mixco,Education
554864,Maria  Paz , F ,03/01/2026,"437,61",Antigua,sin dato
540597, Isabel Ramirez,F,17/01/2026,336.98,Mixco,RETAIL
582606,Patricia Soto,f,2026-02-04,206.68,Villa Nueva,FOOD
